timestamp,side,price,amount,cost,collected_at
1764802481468,buy,93613.6,0.003,280.8408,2025-12-04 04:24:38.047894
1764802481468,buy,93613.8,0.003,280.8414,2025-12-04 04:24:38.047894
1764802481468,buy,93613.9,0.005,468.0695,2025-12-04 04:24:38.047894
1764802481468,buy,93614.1,0.002,187.2282,2025-12-04 04:24:38.047894
1764802481468,buy,93614.2,0.003,280.8426,2025-12-04 04:24:38.047894
1764802481468,buy,93614.5,0.003,280.8435,2025-12-04 04:24:38.047894
1764802481468,buy,93614.8,0.005,468.074,2025-12-04 04:24:38.047894
1764802481505,buy,93615.2,0.008,748.9216,2025-12-04 04:24:38.047894
1764802481520,buy,93615.3,0.008,748.9224,2025-12-04 04:24:38.047894
1764802481520,buy,93616.1,0.003,280.8483,2025-12-04 04:24:38.047894
1764802481523,buy,93616.3,0.006,561.6978,2025-12-04 04:24:38.047894
1764802481523,buy,93616.6,0.003,280.8498,2025-12-04 04:24:38.047894
1764802481523,buy,93617.1,0.003,280.8513,2025-12-04 04:24:38.047894
1764802481523,buy,93617.2,0.003,280.8516,2025-12-04 04:24:38.047894
1764802481523,buy,93617.3,0.002,187.2346,2025-12-04 04:24:38.047894
1764802481523,buy,93617.6,0.002,187.2352,2025-12-04 04:24:38.047894
1764802481583,buy,93617.9,0.151,14136.3029,2025-12-04 04:24:38.047894
1764802481701,sell,93617.9,0.917,85847.6143,2025-12-04 04:24:38.047894
1764802481833,sell,93617.9,0.014,1310.6506,2025-12-04 04:24:38.047894
1764802481941,sell,93617.9,0.002,187.2358,2025-12-04 04:24:38.047894
1764802482185,sell,93617.9,0.018,1685.1222,2025-12-04 04:24:38.047894
1764802482280,buy,93618.0,0.811,75924.198,2025-12-04 04:24:38.047894
1764802482286,buy,93618.1,0.005,468.0905,2025-12-04 04:24:38.047894
1764802482286,buy,93618.4,0.003,280.8552,2025-12-04 04:24:38.047894
1764802482286,buy,93619.0,0.003,280.857,2025-12-04 04:24:38.047894
1764802482286,buy,93619.2,0.003,280.8576,2025-12-04 04:24:38.047894
1764802482292,buy,93619.4,0.003,280.8582,2025-12-04 04:24:38.047894
1764802482292,buy,93619.5,0.003,280.8585,2025-12-04 04:24:38.047894
1764802482292,buy,93619.7,0.003,280.8591,2025-12-04 04:24:38.047894
1764802482292,buy,93620.0,0.007,655.34,2025-12-04 04:24:38.047894
1764802482292,buy,93620.1,0.005,468.1005,2025-12-04 04:24:38.047894
1764802482292,buy,93620.2,0.003,280.8606,2025-12-04 04:24:38.047894
1764802482292,buy,93620.5,0.032,2995.856,2025-12-04 04:24:38.047894
1764802482295,buy,93620.7,0.08,7489.656,2025-12-04 04:24:38.047894
1764802482295,buy,93620.8,0.002,187.2416,2025-12-04 04:24:38.047894
1764802482295,buy,93620.9,0.002,187.2418,2025-12-04 04:24:38.047894
1764802482297,buy,93621.0,0.004,374.484,2025-12-04 04:24:38.047894
1764802482297,buy,93621.1,0.002,187.2422,2025-12-04 04:24:38.047894
1764802482297,buy,93621.2,0.003,280.8636,2025-12-04 04:24:38.047894
1764802482297,buy,93621.3,0.003,280.8639,2025-12-04 04:24:38.047894
1764802482297,buy,93621.7,0.003,280.8651,2025-12-04 04:24:38.047894
1764802482297,buy,93621.9,0.003,280.8657,2025-12-04 04:24:38.047894
1764802482297,buy,93622.2,0.003,280.8666,2025-12-04 04:24:38.047894
1764802482297,buy,93622.5,0.012,1123.47,2025-12-04 04:24:38.047894
1764802482297,buy,93622.7,0.003,280.8681,2025-12-04 04:24:38.047894
1764802482297,buy,93622.9,0.005,468.1145,2025-12-04 04:24:38.047894
1764802482297,buy,93623.1,0.003,280.8693,2025-12-04 04:24:38.047894
1764802482297,buy,93623.3,0.002,187.2466,2025-12-04 04:24:38.047894
1764802482297,buy,93623.6,0.005,468.118,2025-12-04 04:24:38.047894
1764802482297,buy,93623.8,0.005,468.119,2025-12-04 04:24:38.047894
